Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Faces resolution mean (m^2),Faces resolution mean 98% (m^2),Faces resolution median (m^2),Faces resolution median 98% (m^2),Faces max resolution (m^2),Faces min resolution (m^2),Faces resolution range (m^2),Faces max resolution 98% (m^2),Faces min resolution 98% (m^2),Faces resolution range 98% (m^2)
691_695,691block_scene,Mesh,419710,411315,211531,207300,9.62980592779234e-07,9.190183324511402e-07,6.669792931124325e-07,6.669792931124325e-07,2.626939649924005e-05,5.10122377246839e-11,2.6269345487002324e-05,4.593337217021323e-06,1.4268846057998012e-07,4.450648756441343e-06
691_695,695_open,Mesh,13408,13139,6838,6701,9.505711297637946e-07,8.826452217348317e-07,6.566357488232303e-07,6.566357488232303e-07,2.626939649924005e-05,5.10122377246839e-11,2.6269345487002324e-05,3.742756931474453e-06,1.8566123110756824e-07,3.5570957003668846e-06
691_695,695_closed,Mesh,19904,19505,9954,9754,9.332696672885561e-07,8.479209280543073e-07,6.442975293366089e-07,6.442975293366089e-07,2.626939649924005e-05,5.10122377246839e-11,2.6269345487002324e-05,3.2710843943112074e-06,2.0498919807443557e-07,3.0660951962367717e-06
696_700,696block_scene,Mesh,446971,438031,224978,220478,1.093046010319544e-06,9.985029769913365e-07,7.533727014184033e-07,7.533727014184033e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,5.154674285963839e-06,1.65208040250009e-07,4.989466245713831e-06
696_700,696_open,Mesh,19599,19207,9923,9724,1.1110056060380583e-06,9.866373066031195e-07,7.625962706684104e-07,7.625962706684104e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,4.091420008995155e-06,1.897449089164557e-07,3.9016751000787e-06
696_700,696_closed,Mesh,24600,24108,12298,12052,1.1283725002874932e-06,9.815073083783974e-07,7.743515691225264e-07,7.743515691225264e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,3.5726477460716324e-06,2.1030209918072214e-07,3.3623456468909103e-06
696_700,697_open,Mesh,19882,19484,10067,9865,1.1447498574731314e-06,9.783168831061e-07,7.826376916091269e-07,7.826376916091269e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,3.260334961077744e-06,2.1946630600202379e-07,3.0408686550757204e-06
696_700,697_closed,Mesh,25830,25313,12913,12654,1.1599690047936412e-06,9.771965464521001e-07,7.935166337041547e-07,7.935166337041547e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,3.104237379484536e-06,2.282296998285487e-07,2.8760076796559873e-06
696_700,699_open,Mesh,34839,34142,17590,17238,1.1470999841011624e-06,9.555186916295002e-07,7.844690614433128e-07,7.844690614433128e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,2.9288218387470738e-06,2.326702306749465e-07,2.6961516080721273e-06
696_700,699_closed,Mesh,49488,48498,24746,24251,1.1334485362632133e-06,9.367694748236147e-07,7.813222585458133e-07,7.813222585458133e-07,6.429357027352625e-05,5.10122377246839e-11,6.429351926128852e-05,2.7793052679375604e-06,2.3672755103160864e-07,2.5425777169059518e-06
826_830,826block_scene,Mesh,1090858,1069040,548612,537639,9.557772856655092e-07,7.976333694609222e-07,6.16569742505273e-07,6.16569742505273e-07,0.00019307586401530905,3.289726245462727e-11,0.0001930758311180466,3.6714184447756714e-06,1.139242324665373e-07,3.557494212309134e-06
