Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Resolution mean (m^2),Resolution mean 98% (m^2),Resolution median (m^2),Resolution median 98% (m^2),Max resolution (m^2),Min resolution (m^2),Resolution range (m^2),Max resolution 98% (m^2),Min resolution 98% (m^2),Resolution range 98% (m^2),Mean Confidence,Median Confidence,Max Confidence,Min Confidence,RMS Reprojection Error (pixels),Max Reprojection Error (pixels)
235,235_scene,Mesh,821366,804938,411321,403094,1.07637382024803E-06,5.24387674768276E-07,4.21899786503054E-07,4.21899786503054E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.93964321981014E-06,1.06307541274331E-07,1.83333567853581E-06,61.29745989589550,35.0,254.0,0.0,5.275696274100570,19.70252887719930
235,235_open,Mesh,28886,28308,14492,14202,1.07529619567218E-06,5.18458171540172E-07,4.22021664025212E-07,4.22021664025212E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.39222508003268E-06,1.46811212387489E-07,1.24541386764519E-06,61.213822665312000,35.0,254.0,0.0,5.275696274100570,19.70252887719930
235,235_closed,Mesh,30650,30037,15327,15020,1.07411419877514E-06,5.13742809889027E-07,4.22098084716273E-07,4.22098084716273E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.34363852041381E-06,1.51224006979866E-07,1.19241451343394E-06,61.121921762520300,35.0,254.0,0.0,5.275696274100570,19.70252887719930
686,686_scene,Mesh,583519,571848,292675,286821,1.68609397652405E-06,1.30256282388412E-06,7.28726015069604E-07,7.28726015069604E-07,0.0008283056409924160,7.00247384517642E-13,0.0008283056402921680,1.72390808072241E-05,7.49308226278349E-08,1.71641499845963E-05,78.5650553596928,52.66666793823240,254.0,0.0,5.194488448586100,15.406936864805500
686,686_open,Mesh,19042,18661,9603,9410,1.65714480525001E-06,1.18011672725556E-06,7.20568464089385E-07,7.20568464089385E-07,0.0008283056409924160,7.00247384517642E-13,0.0008283056402921680,9.59120993583915E-06,9.51386828594702E-08,9.49607125297968E-06,76.82190331073090,50.0,254.0,0.0,5.194488448586100,15.406936864805500
686,686_closed,Mesh,23444,22975,11726,11491,1.62026264951124E-06,1.09994596357274E-06,7.05732387370347E-07,7.05732387370347E-07,0.0008283056409924160,7.00247384517642E-13,0.0008283056402921680,7.01628090282673E-06,1.10617568649135E-07,6.90566333417759E-06,74.67775888372170,46.66666793823240,254.0,0.0,5.194488448586100,15.406936864805500
689,689_scene,Mesh,1100707,1078692,552187,541143,9.41865738645839E-07,6.74893575257215E-07,3.92714151296318E-07,3.92714151296318E-07,0.0008283056409924160,4.5831214751774E-14,0.0008283056409465840,5.35681736667084E-06,4.38384364377595E-08,5.31297893023308E-06,62.37008291707280,39.33333206176760,254.0,0.0,5.942217001000650,19.77553945604660
689,689_open,Mesh,22235,21790,11274,11048,9.34406354621172E-07,6.35419708509214E-07,3.90271485345299E-07,3.90271485345299E-07,0.0008283056409924160,4.5831214751774E-14,0.0008283056409465840,4.24671003110088E-06,6.06185743274141E-08,4.18609145677347E-06,62.41294790497750,39.72222137451170,254.0,0.0,5.942217001000650,19.77553945604660
689,689_closed,Mesh,34826,34129,17415,17066,9.21881409285503E-07,6.01261479407062E-07,3.84611333312154E-07,3.84611333312154E-07,0.0008283056409924160,4.5831214751774E-14,0.0008283056409465840,3.44222421845895E-06,6.73404132410226E-08,3.37488380521792E-06,62.026137778093100,39.5,254.0,0.0,5.942217001000650,19.77553945604660
776,776_scene,Mesh,1080091,1058489,542395,531547,1.00376938480875E-06,6.70775743946714E-07,4.15016592580167E-07,4.15016592580167E-07,0.0008283056409924160,0.0,0.0008283056409924160,6.50332507769043E-06,4.34414576084567E-08,6.45988362008197E-06,63.15974568510280,39.0,254.0,0.0,5.973856947093690,25.803758957079800
